,productname,prices,Description,Reviews
155,"realme 16 Pro+ 5G (Master Grey, 256 GB)","₹41,999",8 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Full HD+ AMOLED Display200MP + 50MP + 8MP | 50MP Front Camera7000 mAh Battery7 Gen 4 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.4
156,"realme 16 Pro+ 5G (Master Gold, 256 GB)","₹41,999",8 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Full HD+ AMOLED Display200MP + 50MP + 8MP | 50MP Front Camera7000 mAh Battery7 Gen 4 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.4
157,"Apple iPhone 14 (Starlight, 256 GB)","₹64,900","256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",4.6
158,"realme GT 7T (Racing Yellow, 256 GB)","₹34,999",8 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Full HD+ AMOLED Display50MP + 8MP | 32MP Front Camera7000 mAh Li-ion BatteryDimensity 8400-MAX Processorstandard 1-year warranty for the device  and a 6-month warranty for accessories,4.4
159,"MOTOROLA Edge 60 Pro (Pantone Dazzling Blue, 256 GB)","₹33,999",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP + 50MP + 10MP | 50MP Front Camera6000 mAh BatteryDimensity 8350 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.3
160,"realme 15 Pro 5G (Silk Purple, 256 GB)","₹37,999",12 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Display50MP + 50MP | 50MP Front Camera7000 mAh BatterySnapdragon 7 Gen 4 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
161,"realme 15 Pro 5G (Flowing Silver, 256 GB)","₹37,999",12 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Display50MP + 50MP | 50MP Front Camera7000 mAh BatterySnapdragon 7 Gen 4 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
162,"OnePlus 15 5G (Infinite Black, 512 GB)","₹81,299",16 GB RAM | 512 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera7300 mAh Battery12 months manufacturer warranty,4.7
163,"vivo V60 5G (Auspicious Gold, 256 GB)","₹40,999",12 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Display50MP + 8MP + 50MP | 50MP Front Camera6500 mAh Battery7 Gen 4 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.5
164,"Samsung Galaxy S25 Edge 5G (Titanium Jetblack, 256 GB)","₹89,999",12 GB RAM | 256 GB ROM16.91 cm (6.657 inch) Quad HD+ Display200MP + 12MP | 12MP Front Camera3900 mAh BatteryQualcomm Snapdragon 8 Elite for Galaxy Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.7
165,"Samsung Galaxy A55 5G (Awesome Iceblue, 256 GB)","₹37,990",12 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 12MP + 5MP | 32MP Front Camera5000 mAh BatteryExynos 1480 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.3
166,"vivo V60 5G (Mist Gray, 512 GB)","₹45,999",16 GB RAM | 512 GB ROM17.2 cm (6.77 inch) Display50MP + 8MP + 50MP | 50MP Front Camera6500 mAh Battery7 Gen 4 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.5
167,"OnePlus 11 5G (Eternal Green, 256 GB)","₹38,995",16 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera5000 mAh Batterydomestic warranty of 12 months on phone & 6 months on accessories,4.5
168,"vivo X300 (Mist Blue, 512 GB)","₹85,999",16 GB RAM | 512 GB ROM40.74 cm (16.04 cm) Display200MP + 50MP + 50MP | 50MP Front Camera6040 mAh BatteryDimensity 9500 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.3
169,"vivo V60 5G (Auspicious Gold, 256 GB)","₹38,999",8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Display50MP + 8MP + 50MP | 50MP Front Camera6500 mAh Battery7 Gen 4 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.5
170,"realme 15 Pro 5G (Flowing Silver, 512 GB)","₹40,999",12 GB RAM | 512 GB ROM17.27 cm (6.8 inch) Display50MP + 50MP | 50MP Front Camera7000 mAh BatterySnapdragon 7 Gen 4 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
171,"POCO F7 5G (Phantom Black, 256 GB)","₹31,999","12 GB RAM | 256 GB ROM17.35 cm (6.83 inch) Display50MP Rear Camera | 20MP Front Camera7550 mAh Li-Polymer + Silicon Carbon Battery8s Gen 4 ProcessorRear Camera -50MP Main Camera -8MP Ultra-wide Camera with night mode and ultra-wide video recordingFront camera -20MP with Portrait Mode | | Front Video Recording | Night ModeDisplay -6.83 inch 1.5K pOLED with 120 Hz refresh rateBattery 7550mAh, 90W charger, 22.5W reverse charging1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",4.4
172,"vivo V50 5G (Starry Night, 512 GB)","₹38,999",12 GB RAM | 512 GB ROM17.2 cm (6.77 inch) Display50MP + 50MP | 50MP Front Camera6000 mAh Battery7 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months Warranty for Inbox Accessories,4.5
173,"Samsung Galaxy S25 FE 5G (Navy, 128 GB)","₹59,999",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP + 8MP | 12MP Front Camera4900 mAh Li-ion BatteryExynos 2400 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.6
174,"Samsung Galaxy Z Flip5 (Mint, 256 GB)","₹62,999",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display12MP + 12MP | 10MP Front Camera3700 mAh BatterySnapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.4
175,"Samsung Galaxy S25 FE 5G (Jetblack, 128 GB)","₹59,999",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP + 8MP | 12MP Front Camera4900 mAh Li-ion BatteryExynos 2400 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.6
176,"vivo V50 5G (Titanium Grey, 256 GB)","₹34,999",8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Display50MP + 50MP | 50MP Front Camera6000 mAh Battery7 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months Warranty for Inbox Accessories,4.5
177,"Samsung Galaxy S25 Ultra 5G (Titanium Silverblue, 256 GB)","₹1,09,988",12 GB RAM | 256 GB ROM17.53 cm (6.9 inch) Quad HD+ Display200MP + 50MP + 50MP + 10MP | 12MP Front Camera5000 mAh Battery8 Elite for Galaxy Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.6
178,"Google Pixel 10 Pro (Moonstone, 256 GB)","₹1,09,999",16 GB RAM | 256 GB ROM16.0 cm (6.3 inch) Quad HD+ Display48MP + 48MP + 48MP | 42MP Front Camera4870 mAh BatteryTensor G5 Processor1 Year Domestic Warranty,4.6
179,"IQOO 15 5G (Legend, 256 GB)","₹72,099",12 GB RAM | 256 GB ROM17.4 cm (6.85 inch) Display50MP Rear Camera7000 mAh Battery1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,4.7
180,"OPPO Reno14 5G (Forest Green, 256 GB)","₹41,209",8 GB RAM | 256 GB ROM16.74 cm (6.59 inch) Display50MP + 8MP + 50MP | 50MP Front Camera6000 mAh BatteryDimensity 8350 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.5
181,"OPPO Reno14 5G (Mint Green, 256 GB)","₹41,000",8 GB RAM | 256 GB ROM16.74 cm (6.59 inch) Display50MP + 8MP + 50MP | 50MP Front Camera6000 mAh BatteryDimensity 8350 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.5
182,"vivo V60 5G (Mist Gray, 128 GB)","₹36,999",8 GB RAM | 128 GB ROM17.2 cm (6.77 inch) Display50MP + 8MP + 50MP | 50MP Front Camera6500 mAh Battery7 Gen 4 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.5
183,"realme 15 Pro 5G (Velvet Green, 256 GB)","₹37,999",12 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Display50MP + 50MP | 50MP Front Camera7000 mAh BatterySnapdragon 7 Gen 4 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
184,"realme 15 Pro 5G (Flowing Silver, 256 GB)","₹35,999",8 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Display50MP + 50MP | 50MP Front Camera7000 mAh BatterySnapdragon 7 Gen 4 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3
185,"realme 15 Pro 5G (Velvet Green, 256 GB)","₹35,999",8 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Display50MP + 50MP | 50MP Front Camera7000 mAh BatterySnapdragon 7 Gen 4 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3
186,"realme 15 Pro 5G (Silk Purple, 256 GB)","₹35,999",8 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Display50MP + 50MP | 50MP Front Camera7000 mAh BatterySnapdragon 7 Gen 4 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3
187,"realme 15 Pro 5G (Flowing Silver, 128 GB)","₹33,999",8 GB RAM | 128 GB ROM17.27 cm (6.8 inch) Display50MP + 50MP | 50MP Front Camera7000 mAh BatterySnapdragon 7 Gen 4 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3
188,"OPPO Reno14 5G (Pearl White, 512 GB)","₹47,995",12 GB RAM | 512 GB ROM16.74 cm (6.59 inch) Display50MP + 8MP + 50MP | 50MP Front Camera6000 mAh BatteryDimensity 8350 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.5
189,"Apple iPhone 17 (White, 512 GB)","₹1,02,900","512 GB ROM16.0 cm (6.3 inch) Super Retina XDR Display48MP + 48MP | 18MP Front CameraA19 Chip, 6 Core Processor ProcessorApple One (1) Year Limited Warranty",4.7
190,"Samsung Galaxy S25 Ultra 5G (Titanium Whitesilver, 256 GB)","₹1,09,999",12 GB RAM | 256 GB ROM17.53 cm (6.9 inch) Quad HD+ Display200MP + 50MP + 50MP + 10MP | 12MP Front Camera5000 mAh Battery8 Elite for Galaxy Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.6
191,"IQOO 15 5G (Alpha, 256 GB)","₹71,882",12 GB RAM | 256 GB ROM17.4 cm (6.85 inch) Display50MP Rear Camera7000 mAh Battery1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,4.7
192,"vivo V50 5G (Titanium Grey, 512 GB)","₹38,899",12 GB RAM | 512 GB ROM17.2 cm (6.77 inch) Display50MP + 50MP | 50MP Front Camera6000 mAh Battery7 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months Warranty for Inbox Accessories,4.5
193,"OPPO RENO 13 5G (Luminous Blue, 128 GB)","₹34,999",8 GB RAM | 128 GB ROM16.74 cm (6.59 inch) Display50MP Rear Camera5600 mAh Battery1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.2
194,"vivo V50 5G (Titanium Grey, 128 GB)","₹32,498",8 GB RAM | 128 GB ROM17.2 cm (6.77 inch) Display50MP + 50MP | 50MP Front Camera6000 mAh Battery7 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months Warranty for Inbox Accessories,4.5
195,"Google Pixel 8a (Bay, 128 GB)","₹39,999",8 GB RAM | 128 GB ROM15.49 cm (6.1 inch) Full HD+ Display64MP + 13MP | 13MP Front Camera4404 mAh BatteryTensor G3 Processor1 Year Domestic Warranty,4.3
196,"Apple iPhone Air (Sky Blue, 256 GB)","₹1,19,900","256 GB ROM16.51 cm (6.5 inch) Super Retina XDR Display48MP Rear Camera | 18MP Front CameraA19 Chip, 6 Core Processor ProcessorApple One (1) Year Limited Warranty",4.7
197,"vivo V60 5G (Moonlit Blue, 256 GB)","₹34,978",8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Display50MP + 8MP + 50MP | 50MP Front Camera6500 mAh Battery7 Gen 4 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.5
198,"OPPO Reno14 5G (Forest Green, 256 GB)","₹41,210",8 GB RAM | 256 GB ROM16.74 cm (6.59 inch) Display50MP + 8MP + 50MP | 50MP Front Camera6000 mAh BatteryDimensity 8350 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.5
199,"vivo V50 5G (Rose Red, 256 GB)","₹34,499",8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Display50MP + 50MP | 50MP Front Camera6000 mAh Battery7 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months Warranty for Inbox Accessories,4.5
200,"OPPO Reno 12 Pro 5G (Space Brown, 512 GB)","₹55,999",12 GB RAM | 512 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 50MP | 50MP Front Camera5000 mAh BatteryDimensity 7300 Energy Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
201,"vivo V50 5G (Rose Red, 128 GB)","₹30,899",8 GB RAM | 128 GB ROM17.2 cm (6.77 inch) Display50MP + 50MP | 50MP Front Camera6000 mAh Battery7 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months Warranty for Inbox Accessories,4.5
202,"OPPO F27 Pro+ (Dusk Pink, 256 GB)","₹34,999",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display64MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 7050 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
203,"OPPO F27 Pro+ (Dusk Pink, 128 GB)","₹32,999",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display64MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 7050 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
204,"OPPO F27 Pro+ (Midnight Navy, 128 GB)","₹32,999",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display64MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 7050 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
205,"OPPO Reno13 5G (Ivory White, 128 GB)","₹41,999",8 GB RAM | 128 GB ROM16.74 cm (6.59 inch) Display50MP + 8MP + 2MP | 50MP Front Camera5600 mAh BatteryDimensity 8350 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.4
206,"vivo V60 5G (Mist Gray, 256 GB)","₹38,999",8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Display50MP + 8MP + 50MP | 50MP Front Camera6500 mAh Battery7 Gen 4 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.5
207,"OnePlus 10T 5G (Jade Green, 256 GB)","₹35,553",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera4800 mAh Battery1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,4.1
208,"OnePlus 11 5G (Titan Black, 128 GB)","₹32,792",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera | 16MP Front Camera5000 mAh Batterydomestic warranty of 12 months on phone & 6 months on accessories,4.4
209,"OPPO Reno11 5G (Rock Grey, 128 GB)","₹38,999",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 32MP | 32MP Front Camera5000 mAh BatteryMediatek Dimensity 7050 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3
210,"OnePlus 11 5G (Eternal Green, 128 GB)","₹32,240",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera | 16MP Front Camera5000 mAh Batterydomestic warranty of 12 months on phone & 6 months on accessories,4.4
211,"vivo V50 5G (Rose Red, 512 GB)","₹38,899",12 GB RAM | 512 GB ROM17.2 cm (6.77 inch) Display50MP + 50MP | 50MP Front Camera6000 mAh Battery7 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months Warranty for Inbox Accessories,4.5
212,"OnePlus 12 (Glacial White, 256 GB)","₹46,987",12 GB RAM | 256 GB ROM17.32 cm (6.82 inch) Full HD+ AMOLED Display50MP Rear Camera5400 mAh BatteryQualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm) Processor1 Year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase,4.6
213,"OPPO F31 Pro+ 5G (Himalayan White, 256 GB)","₹32,999",8 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Full HD+ Display50MP + 2MP | 32MP Front Camera7000 mAh Battery7 Gen 3 Mobile Platform Processor1 Year brand warranty,4.4
214,"vivo V50 5G (Starry Night, 256 GB)","₹33,673",8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Display50MP + 50MP | 50MP Front Camera6000 mAh Battery7 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months Warranty for Inbox Accessories,4.5
215,"Apple iPhone 16e (Black, 128 GB)","₹59,900","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP Rear Camera | 12MP Front CameraA18 Chip, 6 Core Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",4.5
216,"Samsung Galaxy S25 5G (Navy, 256 GB)","₹80,999",12 GB RAM | 256 GB ROM15.75 cm (6.2 inch) Full HD+ Display50MP + 10MP + 12MP | 12MP Front Camera4000 mAh Battery8 Elite for Galaxy Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.6
217,"OPPO Reno 12 Pro 5G (Space Brown, 256 GB)","₹40,999",12 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 50MP | 50MP Front Camera5000 mAh BatteryDimensity 7300 Energy Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
218,"OPPO F31 Pro+ 5G (Festival Pink, 256 GB)","₹34,999",12 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Full HD+ Display50MP + 2MP | 32MP Front Camera7000 mAh Battery7 Gen 3 Mobile Platform Processor1 Year brand warranty,4.3
219,"OPPO Reno10 Pro 5G (Glossy Purple, 256 GB)","₹44,999",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 32MP + 8MP | 32MP Front Camera4600 mAh BatterySnapdragon 778G 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3
220,"OPPO Reno10 Pro 5G (Silvery Grey, 256 GB)","₹30,999",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 32MP + 8MP | 32MP Front Camera4600 mAh BatterySnapdragon 778G 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3
221,"OPPO K13 Turbo Pro 5G (Silver Knight, 256 GB)","₹36,999",12 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera7000 mAh Battery8s Gen 4 Mobile Platform Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
222,"OPPO K13 Turbo Pro 5G (Purple Phantom, 256 GB)","₹36,999",12 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera7000 mAh Battery8s Gen 4 Mobile Platform Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
223,"Samsung Galaxy A54 5G (Awesome Violet, 256 GB)","₹31,999","8 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.26 cm (6.4 inch) Full HD+ Display50MP + 12MP + 5MP | 32MP Front Camera5000 mAh BatteryExynos 1380, Octa Core Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories",4.3
224,"vivo X200 FE (Amber Yellow, 256 GB)","₹59,999",12 GB RAM | 256 GB ROM16.03 cm (6.31 inch) Display50MP + 8MP + 50MP | 50MP Front Camera6500 mAh BatteryDimensity 9300+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.6
225,"Google Pixel 10 Pro (Obsidian, 256 GB)","₹1,09,999",16 GB RAM | 256 GB ROM16.0 cm (6.3 inch) Quad HD+ Display48MP + 48MP + 48MP | 42MP Front Camera4870 mAh BatteryTensor G5 Processor1 Year Domestic Warranty,4.6
226,"IQOO 15 5G (Alpha, 512 GB)","₹79,491",16 GB RAM | 512 GB ROM17.4 cm (6.85 inch) Display50MP Rear Camera7000 mAh Battery1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,4.5
227,"OPPO K13 Turbo Pro 5G (Purple Phantom, 256 GB)","₹34,999",8 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera7000 mAh Battery8s Gen 4 Mobile Platform Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.2
228,"Samsung Galaxy S24 5G Snapdragon (Marble Gray, 128 GB)","₹49,999",8 GB RAM | 128 GB ROM15.75 cm (6.2 inch) Full HD+ Display50MP + 12MP | 12MP Front Camera4000 mAh Battery8 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.6
229,"OPPO K13 Turbo Pro 5G (Midnight Maverick, 256 GB)","₹34,999",8 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera7000 mAh Battery8s Gen 4 Mobile Platform Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.2
230,"IQOO 15 5G (Legend, 512 GB)","₹81,576",16 GB RAM | 512 GB ROM17.4 cm (6.85 inch) Display50MP Rear Camera7000 mAh Battery1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,4.5
